product_name;parameter_name;value
AMD Ryzen 7 9800X3D Box (100-100001084WOF);Core Count;8
AMD Ryzen 7 9800X3D Box (100-100001084WOF);Thread Count;16
AMD Ryzen 7 9800X3D Box (100-100001084WOF);Clock Speed;4700
AMD Ryzen 7 9800X3D Box (100-100001084WOF);Turbo Clock Speed;5200
AMD Ryzen 7 9800X3D Box (100-100001084WOF);Integrated Graphics;AMD Radeon Graphics
AMD Ryzen 7 9800X3D Box (100-100001084WOF);L2 Cache Size;8
AMD Ryzen 7 9800X3D Box (100-100001084WOF);L3 Cache Size;96
AMD Ryzen 7 9800X3D Box (100-100001084WOF);Thermal Design Power (TDP);120
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);Core Count;8
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);Thread Count;16
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);Clock Speed;4200
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);Turbo Clock Speed;5000
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);Integrated Graphics;AMD Radeon Graphics
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);L2 Cache Size;8
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);L3 Cache Size;N/A
AMD Ryzen 7 7800X3D 8-Core 4.2GHz AM5 Box (100-100000910WOF);Thermal Design Power (TDP);N/A
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);Core Count;8
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);Thread Count;16
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);Clock Speed;3800
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);Turbo Clock Speed;4700
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);Integrated Graphics;No
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);L2 Cache Size;4
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);L3 Cache Size;N/A
AMD Ryzen 7 5800X 8-Core 3.8GHz AM4 Box (100-100000063WOF);Thermal Design Power (TDP);N/A
